ADDRESS_X,LATITUDE_X,LONGITUDE_X,AGE,COMMUNITY_COUNCIL_NEIGHBORHOOD,CPD_NEIGHBORHOOD,CRASHDATE,CRASHLOCATION,CRASHSEVERITY,CRASHSEVERITYID,DATECRASHREPORTED,DAYOFWEEK,GENDER,INJURIES,INSTANCEID,LIGHTCONDITIONSPRIMARY,LOCALREPORTNO,MANNEROFCRASH,ROADCONDITIONSPRIMARY,ROADCONTOUR,ROADSURFACE,SNA_NEIGHBORHOOD,TYPEOFPERSON,WEATHER,ZIP
13XX W NORTH BEND RD,39.201693,-84.541538,UNKNOWN,COLLEGE HILL,COLLEGE  HILL,08/19/2018 09:04:00 PM +0000,03 - T-INTERSECTION,2 - INJURY,2,08/19/2018 09:09:00 PM +0000,SUN,,1 - NO INJURY / NONE REPORTED,365A679A-BB7C-4E02-8581-D1666CF55D91,4 - DARK - LIGHTED ROADWAY,185011606,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",COLLEGE HILL,D - DRIVER,1 - CLEAR,45224
4XX E MARTIN LUTHER KING DR,39.135083,84.499375,51-60,N/A,N/A,08/03/2018 03:50:00 AM +0000,12 - SHARED-USE PATHS OR TRAILS,3 - PROPERTY DAMAGE ONLY (PDO),3,08/03/2018 03:53:00 AM +0000,FRI,F - FEMALE,1 - NO INJURY / NONE REPORTED,2C116B38-C4F7-4E86-BBBB-9A98B744ED9A,4 - DARK - LIGHTED ROADWAY,185010735,2 - REAR-END,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45229
39XX BEEKMAN ST,39.158243,84.549483,51-60,N/A,N/A,08/14/2018 07:51:00 AM +0000,08 - OFF RAMP,3 - PROPERTY DAMAGE ONLY (PDO),3,08/14/2018 07:51:00 AM +0000,TUE,M - MALE,1 - NO INJURY / NONE REPORTED,A31A017C-A397-4A25-B90B-F12FDE89D93C,1 - DAYLIGHT,185011284,6 - ANGLE,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45223
S I75 AT 1-2 MM,39.106105,-84.530133,41-50,QUEENSGATE,QUEENSGATE,08/09/2018 08:34:00 PM +0000,01 - NOT AN INTERSECTION,2 - INJURY,2,08/09/2018 08:35:00 PM +0000,THU,F - FEMALE,3 - NON-INCAPACITATING,B7168820-C886-4006-8861-3988CC9F3961,3 - DUSK,185011079,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,01 - DRY,1 - STRAIGHT LEVEL,1 - CONCRETE,QUEENSGATE,D - DRIVER,1 - CLEAR,
7XX W KING DR,39.140336,84.531593,18-25,N/A,N/A,08/15/2018 09:24:00 AM +0000,03 - T-INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/15/2018 09:24:00 AM +0000,WED,F - FEMALE,1 - NO INJURY / NONE REPORTED,3025EF37-4335-48ED-9177-959AECAD9671,1 - DAYLIGHT,185011333,6 - ANGLE,01 - DRY,2 - STRAIGHT GRADE,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,2 - CLOUDY,45220
6XX CLEMMER AV,39.12883,-84.527671,UNKNOWN,CUF,CLIFTON/UNIVERSITY HEIGHTS,08/21/2018 07:00:00 PM +0000,03 - T-INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/21/2018 09:13:28 PM +0000,TUE,,1 - NO INJURY / NONE REPORTED,6C43D1EF-7051-4266-B1AF-EAC1EF979481,1 - DAYLIGHT,185011704,6 - ANGLE,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",CUF,D - DRIVER,1 - CLEAR,45219
1XX W MCMILLAN ST,39.127131,-84.516878,18-25,CUF - HEIGHTS,FAIRVIEW,08/11/2018 12:43:00 AM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/11/2018 12:43:00 AM +0000,SAT,M - MALE,1 - NO INJURY / NONE REPORTED,59505FB0-5618-4BA9-B596-051222936634,4 - DARK - LIGHTED ROADWAY,185011149,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,02 - WET,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",CUF,O - OCCUPANT,4 - RAIN,45219
54XX BAHAMA TE,39.189856,84.568023,UNKNOWN,N/A,N/A,08/18/2018 01:53:00 AM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/18/2018 01:54:00 AM +0000,SAT,,1 - NO INJURY / NONE REPORTED,62685D1B-A69C-448F-B605-21BBF3EFC328,4 - DARK - LIGHTED ROADWAY,185011534,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,01 - DRY,4 - CURVE GRADE,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,2 - CLOUDY,45223
N I471 AT 5.4,39.103461,84.497793,18-25,N/A,N/A,08/18/2018 10:55:00 PM +0000,08 - OFF RAMP,3 - PROPERTY DAMAGE ONLY (PDO),3,08/18/2018 10:58:00 PM +0000,SAT,M - MALE,1 - NO INJURY / NONE REPORTED,E9147003-147C-46DC-B5A4-15872647B541,4 - DARK - LIGHTED ROADWAY,185011571,2 - REAR-END,01 - DRY,4 - CURVE GRADE,1 - CONCRETE,N/A,D - DRIVER,2 - CLOUDY,
N I75 AT 2-5 MM,39.126005,-84.534203,26-30,CAMP WASHINGTON,CAMP  WASHINGTON,08/07/2018 08:55:00 AM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/07/2018 08:55:00 AM +0000,TUE,M - MALE,1 - NO INJURY / NONE REPORTED,39365C63-E680-4A8C-95EA-BC8C61F42C79,1 - DAYLIGHT,185010943,2 - REAR-END,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",CAMP WASHINGTON,D - DRIVER,2 - CLOUDY,45214
32XX GLENWAY AV,39.112504,84.563008,31-40,N/A,N/A,08/24/2018 07:50:00 AM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/24/2018 07:55:00 AM +0000,FRI,F - FEMALE,1 - NO INJURY / NONE REPORTED,5F5CBFA9-DAF7-42F5-B06D-110C15B049B0,1 - DAYLIGHT,185011818,"7 - SIDESWIPE, SAME DIRECTION",01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45204
S I71 AT 2-6 MM,39.118966,-84.499316,18-25,WALNUT HILLS,WALNUT HILLS,08/16/2018 03:55:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/16/2018 03:56:00 PM +0000,THU,M - MALE,1 - NO INJURY / NONE REPORTED,9C716A87-922D-457F-8078-B9E6B7DD7F81,1 - DAYLIGHT,185011434,2 - REAR-END,01 - DRY,2 - STRAIGHT GRADE,"2 - BLACKTOP, BITUMINOUS, ASPHALT",WALNUT HILLS,D - DRIVER,2 - CLOUDY,45219
36XX GLENWAY AV,39.113281,84.572241,41-50,N/A,N/A,08/19/2018 06:30:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/19/2018 06:35:00 PM +0000,SUN,M - MALE,1 - NO INJURY / NONE REPORTED,FE047A23-AE20-4262-BA8B-2C26520B9F5B,1 - DAYLIGHT,185011615,2 - REAR-END,01 - DRY,4 - CURVE GRADE,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,2 - CLOUDY,45205
3XX FOREST AV,39.14598,-84.500108,51-60,AVONDALE,AVONDALE,08/10/2018 09:20:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/10/2018 09:21:00 PM +0000,FRI,M - MALE,1 - NO INJURY / NONE REPORTED,74B2FFD9-4BF1-4B37-B893-CF1421721395,4 - DARK - LIGHTED ROADWAY,185011131,"7 - SIDESWIPE, SAME DIRECTION",01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",AVONDALE,D - DRIVER,1 - CLEAR,45229
13XX TENNESSEE AV,39.167934,84.470482,26-30,N/A,N/A,08/07/2018 01:30:00 PM +0000,02 - FOUR-WAY INTERSECTION,2 - INJURY,2,08/07/2018 01:40:00 PM +0000,TUE,M - MALE,1 - NO INJURY / NONE REPORTED,E7113308-9C84-46EA-A537-7BAE58424E12,1 - DAYLIGHT,185010956,2 - REAR-END,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,2 - CLOUDY,45229
1XX W 3RD ST,39.099097,84.514484,61-70,N/A,N/A,08/14/2018 06:07:24 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/14/2018 07:06:30 PM +0000,TUE,M - MALE,1 - NO INJURY / NONE REPORTED,D7232D46-1E56-4F53-89D0-69603095AE1F,1 - DAYLIGHT,185011317,"7 - SIDESWIPE, SAME DIRECTION",01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45202
49XX GLENWAY AV,39.120948,84.600993,31-40,N/A,N/A,08/20/2018 01:03:00 PM +0000,10 - DRIVEWAY/ALLEY ACCESS,3 - PROPERTY DAMAGE ONLY (PDO),3,08/20/2018 01:03:00 PM +0000,MON,F - FEMALE,1 - NO INJURY / NONE REPORTED,5CE3AA7A-9C1D-48F8-9CF1-CC8BBAE17502,1 - DAYLIGHT,185011624,6 - ANGLE,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45238
1XX CRAFT ST,39.1784,-84.51147,31-40,WINTON HILLS,WINTON HILLS,08/25/2018 04:00:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/25/2018 04:15:00 PM +0000,SAT,M - MALE,1 - NO INJURY / NONE REPORTED,D48D9FFF-AF14-48CE-9B61-A1BA5F8C18C6,1 - DAYLIGHT,185011885,"7 - SIDESWIPE, SAME DIRECTION",01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",WINTON HILLS,D - DRIVER,1 - CLEAR,45232
2XX GOODMAN AV,39.136581,-84.503173,31-40,CORRYVILLE,CORRYVILLE,08/06/2018 11:45:37 AM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/07/2018 10:27:38 AM +0000,MON,M - MALE,1 - NO INJURY / NONE REPORTED,FEFB46FC-821C-43E6-8EE5-43B4465D240B,1 - DAYLIGHT,185011015,"7 - SIDESWIPE, SAME DIRECTION",01 - DRY,1 - STRAIGHT LEVEL,1 - CONCRETE,CORRYVILLE,O - OCCUPANT,1 - CLEAR,45229
37XX GLENWAY AV,39.112987,84.574615,UNKNOWN,N/A,N/A,08/03/2018 12:06:00 AM +0000,01 - NOT AN INTERSECTION,2 - INJURY,2,08/03/2018 12:08:00 AM +0000,FRI,,1 - NO INJURY / NONE REPORTED,A4A0D73C-FA05-47F3-8A95-A21DE82A7E99,4 - DARK - LIGHTED ROADWAY,185010727,2 - REAR-END,01 - DRY,2 - STRAIGHT GRADE,1 - CONCRETE,N/A,D - DRIVER,1 - CLEAR,45205
S I75 AT 2-1 MM,39.239457,-84.450661,UNKNOWN,N/A,N/A,08/15/2018 06:55:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/17/2018 08:40:00 PM +0000,WED,,1 - NO INJURY / NONE REPORTED,B49C4FF8-45BB-4E13-B37F-64FD79D1768A,3 - DUSK,185011518,"7 - SIDESWIPE, SAME DIRECTION",02 - WET,1 - STRAIGHT LEVEL,1 - CONCRETE,N/A,D - DRIVER,2 - CLOUDY,45202
34XX TRIMBLE AV,39.141743,-84.46772,61-70,EVANSTON,EVANSTON,08/10/2018 05:16:00 PM +0000,02 - FOUR-WAY INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/10/2018 05:16:00 PM +0000,FRI,M - MALE,1 - NO INJURY / NONE REPORTED,CFEC6379-62CC-45AC-8845-E0016E1B1537,1 - DAYLIGHT,185011120,2 - REAR-END,02 - WET,1 - STRAIGHT LEVEL,1 - CONCRETE,EVANSTON,D - DRIVER,4 - RAIN,45207
59XX RIDGE AV,39.180093,84.426941,31-40,N/A,N/A,08/10/2018 04:22:00 PM +0000,02 - FOUR-WAY INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/10/2018 04:22:00 PM +0000,FRI,M - MALE,1 - NO INJURY / NONE REPORTED,A551D651-9272-43B3-AB99-EFFD14968428,1 - DAYLIGHT,185011113,"7 - SIDESWIPE, SAME DIRECTION",01 - DRY,1 - STRAIGHT LEVEL,1 - CONCRETE,N/A,D - DRIVER,1 - CLEAR,45213
48XX READING RD,39.173721,84.46631,26-30,N/A,N/A,08/10/2018 03:15:00 PM +0000,03 - T-INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/10/2018 03:17:00 PM +0000,FRI,M - MALE,1 - NO INJURY / NONE REPORTED,EB48D6A6-EF34-4CAC-ADC8-060563A816E3,1 - DAYLIGHT,185011110,6 - ANGLE,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,O - OCCUPANT,2 - CLOUDY,45237
4XX E MARTIN LUTHER KING DR,39.080221,84.294821,41-50,N/A,N/A,08/20/2018 10:54:00 PM +0000,02 - FOUR-WAY INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/20/2018 10:55:00 PM +0000,MON,F - FEMALE,1 - NO INJURY / NONE REPORTED,AADE0A94-25ED-47BE-AD13-D75AAE1AD19D,4 - DARK - LIGHTED ROADWAY,185011662,6 - ANGLE,02 - WET,2 - STRAIGHT GRADE,1 - CONCRETE,N/A,O - OCCUPANT,1 - CLEAR,45219
7XX PLUM ST,39.103691,84.517523,31-40,N/A,N/A,08/18/2018 09:50:44 PM +0000,02 - FOUR-WAY INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/18/2018 09:52:45 PM +0000,SAT,M - MALE,1 - NO INJURY / NONE REPORTED,16ABCDA4-6F38-4902-8616-063E81532F91,4 - DARK - LIGHTED ROADWAY,185011562,6 - ANGLE,01 - DRY,1 - STRAIGHT LEVEL,1 - CONCRETE,N/A,D - DRIVER,2 - CLOUDY,45202
3XX PURCELL AV,39.095826,84.564414,31-40,N/A,N/A,08/25/2018 07:55:00 AM +0000,03 - T-INTERSECTION,2 - INJURY,2,08/25/2018 07:59:00 AM +0000,SAT,F - FEMALE,2 - POSSIBLE,0C0663BC-7A8E-4E06-B087-7926394E493E,1 - DAYLIGHT,185011867,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,01 - DRY,4 - CURVE GRADE,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45205
8XX LINN ST,39.102699,-84.512506,UNKNOWN,DOWNTOWN,C. B. D. / RIVERFRONT,08/17/2018 01:15:00 PM +0000,10 - DRIVEWAY/ALLEY ACCESS,3 - PROPERTY DAMAGE ONLY (PDO),3,08/17/2018 01:36:43 PM +0000,FRI,,,26D125F3-CB06-404E-8D61-CD73499F6BF6,1 - DAYLIGHT,185011484,6 - ANGLE,01 - DRY,1 - STRAIGHT LEVEL,1 - CONCRETE,DOWNTOWN,,2 - CLOUDY,45203
32XX VINE ST,39.136721,84.509123,18-25,N/A,N/A,08/17/2018 12:00:00 AM +0000,02 - FOUR-WAY INTERSECTION,2 - INJURY,2,08/17/2018 12:03:00 AM +0000,FRI,M - MALE,2 - POSSIBLE,81EDF3E6-4BDA-454F-95AF-8135D0137E06,4 - DARK - LIGHTED ROADWAY,185011463,6 - ANGLE,02 - WET,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,4 - RAIN,45220
25XX HIGHLAND AV,39.127771,-84.504126,51-60,MOUNT AUBURN,CORRYVILLE,08/21/2018 06:45:00 PM +0000,01 - NOT AN INTERSECTION,2 - INJURY,2,08/21/2018 06:45:00 PM +0000,TUE,M - MALE,2 - POSSIBLE,924C09AF-5EC2-4F1A-B036-576AE4581863,1 - DAYLIGHT,185011697,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,01 - DRY,2 - STRAIGHT GRADE,"2 - BLACKTOP, BITUMINOUS, ASPHALT",CORRYVILLE,D - DRIVER,1 - CLEAR,45219
48XX PADDOCK RD,39.173046,-84.478431,OVER 70,PADDOCK HILLS,BONDHILL,08/27/2018 03:00:00 PM +0000,02 - FOUR-WAY INTERSECTION,2 - INJURY,2,08/27/2018 03:05:00 PM +0000,MON,F - FEMALE,3 - NON-INCAPACITATING,595DFABA-1A36-42F3-9EC6-EA5517F921BF,1 - DAYLIGHT,185011966,6 - ANGLE,01 - DRY,1 - STRAIGHT LEVEL,1 - CONCRETE,BOND HILL,D - DRIVER,1 - CLEAR,45237
1XX CITYCENTRE DR,39.199958,-84.471199,31-40,CARTHAGE,CARTHAGE,08/09/2018 11:50:00 AM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/09/2018 05:00:00 PM +0000,THU,F - FEMALE,1 - NO INJURY / NONE REPORTED,91F7B47C-C871-4C3B-AEFC-60265E1AFBEF,1 - DAYLIGHT,185011066,5 - BACKING,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",CARTHAGE,D - DRIVER,1 - CLEAR,45216
33XX BOUDINOT AV,39.146791,84.603011,18-25,N/A,N/A,08/04/2018 11:50:00 PM +0000,01 - NOT AN INTERSECTION,2 - INJURY,2,08/04/2018 11:51:00 PM +0000,SAT,M - MALE,1 - NO INJURY / NONE REPORTED,10073BAA-B69D-4F97-919E-474FC7BE72A5,4 - DARK - LIGHTED ROADWAY,185010843,2 - REAR-END,01 - DRY,2 - STRAIGHT GRADE,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45211
12XX HOPPLE ST,39.137149,84.536792,31-40,N/A,N/A,08/04/2018 11:50:53 AM +0000,03 - T-INTERSECTION,2 - INJURY,2,08/04/2018 11:59:07 AM +0000,SAT,F - FEMALE,2 - POSSIBLE,E84CF189-DD6B-4462-8A48-0CCE90FBE259,1 - DAYLIGHT,185010807,2 - REAR-END,01 - DRY,2 - STRAIGHT GRADE,1 - CONCRETE,N/A,O - OCCUPANT,2 - CLOUDY,45225
12XX SYCAMORE ST,39.10996,-84.51097,26-30,OTR,OVER-THE-RHINE,08/22/2018 03:00:00 AM +0000,03 - T-INTERSECTION,2 - INJURY,2,08/22/2018 03:05:00 AM +0000,WED,M - MALE,1 - NO INJURY / NONE REPORTED,C3D678B6-BF8E-4FF5-8F40-D5A0C7C6328C,6 - DARK – UNKNOWN ROADWAY LIGHTING,185011709,6 - ANGLE,01 - DRY,1 - STRAIGHT LEVEL,1 - CONCRETE,OVER-THE-RHINE,D - DRIVER,1 - CLEAR,45202
S I75 AT 1-8 MM,39.110411,-84.533051,18-25,QUEENSGATE,QUEENSGATE,08/03/2018 05:45:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/03/2018 05:45:00 PM +0000,FRI,M - MALE,1 - NO INJURY / NONE REPORTED,7AF3B20D-B9BC-41AB-88ED-57EBE373F7E0,1 - DAYLIGHT,185010770,2 - REAR-END,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",QUEENSGATE,D - DRIVER,1 - CLEAR,45202
10XX COLUMBIA PARKWAY,39.172906,84.473966,31-40,N/A,N/A,08/23/2018 12:51:00 PM +0000,01 - NOT AN INTERSECTION,2 - INJURY,2,08/23/2018 12:51:00 PM +0000,THU,M - MALE,2 - POSSIBLE,5302D8CC-B3B5-43C7-9AAD-499FF9945B32,1 - DAYLIGHT,185011780,2 - REAR-END,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45202
16XX WESTWOOD AV,39.126566,84.549712,31-40,N/A,N/A,08/18/2018 09:12:00 AM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/18/2018 09:12:00 AM +0000,SAT,F - FEMALE,1 - NO INJURY / NONE REPORTED,5514577F-86BF-4132-91FE-88D2E125DAE2,1 - DAYLIGHT,185011538,"7 - SIDESWIPE, SAME DIRECTION",01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45214
